No Quarter,7:03,Led Zeppelin,Houses of the Holy,Rock,60
The Ocean,4:34,Led Zeppelin,Houses of the Holy,Rock,80
Custard Pie,4:17,Led Zeppelin,Physical Graffiti,Rock,60
The Rover,5:39,Led Zeppelin,Physical Graffiti,Rock,80
In My Time of Dying,11:08,Led Zeppelin,Physical Graffiti,Rock,80
Houses of the Holy,4:05,Led Zeppelin,Physical Graffiti,Rock,100
Trampled Under Foot,5:37,Led Zeppelin,Physical Graffiti,Rock,100
Kashmir,8:39,Led Zeppelin,Physical Graffiti,Rock,100
In the Light,8:49,Led Zeppelin,Physical Graffiti,Rock,60
Bron-Yr-Aur,2:07,Led Zeppelin,Physical Graffiti,Rock,80
Down by the Seaside,5:16,Led Zeppelin,Physical Graffiti,Rock,60
Ten Years Gone,6:35,Led Zeppelin,Physical Graffiti,Rock,80
Night Flight,3:38,Led Zeppelin,Physical Graffiti,Rock,60
The Wanton Song,4:09,Led Zeppelin,Physical Graffiti,Rock,80
Boogie With Stu,3:53,Led Zeppelin,Physical Graffiti,Rock,60
Black Country Woman,4:25,Led Zeppelin,Physical Graffiti,Rock,60
Sick Again,4:44,Led Zeppelin,Physical Graffiti,Rock,40
Achilles Last Stand,10:32,Led Zeppelin,Presence,Rock,80
For Your Life,6:25,Led Zeppelin,Presence,Rock,40
Royal Orleans,2:59,Led Zeppelin,Presence,Rock,60
Nobody's Fault But Mine,6:28,Led Zeppelin,Presence,Rock,80
Candy Store Rock,4:11,Led Zeppelin,Presence,Rock,60
Hots On For Nowhere,4:44,Led Zeppelin,Presence,Rock,60
Tea For One,9:28,Led Zeppelin,Presence,Rock,40
In The Evening,6:54,Led Zeppelin,In Through The Out Door,Rock,80
South Bound Saurez,4:14,Led Zeppelin,In Through The Out Door,Rock,60
Fool In The Rain,6:11,Led Zeppelin,In Through The Out Door,Rock,100
Hot Dog,3:19,Led Zeppelin,In Through The Out Door,Rock,80
Carouselambra,10:34,Led Zeppelin,In Through The Out Door,Rock,60
All My Love,5:54,Led Zeppelin,In Through The Out Door,Rock,100
I'm Gonna Crawl,5:32,Led Zeppelin,In Through The Out Door,Rock,60
Bat Out Of Hell,9:52,Meat Loaf,Bat Out of Hell,Rock,100
You Took The Word Right Out Of My Mouth (Hot Summer Night),5:05,Meat Loaf,Bat Out of Hell,Rock,100
Heaven Can Wait,4:42,Meat Loaf,Bat Out of Hell,Rock,40
All Revved Up With No Place To Go,4:21,Meat Loaf,Bat Out of Hell,Rock,60
Two Out Of Three Ain't Bad,5:27,Meat Loaf,Bat Out of Hell,Rock,100
Paradise By The Dashboard Light,8:30,Meat Loaf,Bat Out of Hell,Rock,100
For Crying Out Loud,8:55,Meat Loaf,Bat Out of Hell,Rock,40
Great Boléros of Fire (Live Intro),3:54,Meat Loaf,Bat Out of Hell,Rock,60
Bat Out Of Hell (Live),11:10,Meat Loaf,Bat Out of Hell,Rock,100
Bad Attitude,4:46,Meat Loaf,Bad Attitude,Rock,60
Modern Girl,4:26,Meat Loaf,Bad Attitude,Rock,40
Nowhere Fast,5:14,Meat Loaf,Bad Attitude,Rock,80
Surf's Up,4:27,Meat Loaf,Bad Attitude,Rock,60
Piece of the Action,4:17,Meat Loaf,Bad Attitude,Rock,80
Jumpin' the Gun,3:14,Meat Loaf,Bad Attitude,Rock,60
Cheatin' In Your Dreams,4:08,Meat Loaf,Bad Attitude,Rock,60
Don't Leave Your Mark On Me,4:09,Meat Loaf,Bad Attitude,Rock,80
Sailor To A Siren,4:42,Meat Loaf,Bad Attitude,Rock,60
I'd Do Anything For Love (But I Won't Do That),12:01,Meat Loaf,Bat Out of Hell Ⅱ: Back Into Hell,Rock,100
